import time: self [us] | cumulative | imported package
import time:       990 |        990 |     django.core.handlers
import time:      1004 |       1004 |       django.core.handlers.exception
import time:      2058 |       3061 |     django.core.handlers.base
import time:      2768 |       6819 |   django.core.handlers.asgi
import time:      7438 |       7438 |   django.core.handlers.wsgi
import time:      3690 |      28797 | django.contrib.staticfiles.handlers
import time:      1284 |       1284 |   django.core.management.commands
import time:      1055 |       1055 |     django.core.servers
import time:      1288 |       1288 |     wsgiref
import time:      4358 |       4358 |       http.server
import time:      1318 |       1318 |         wsgiref.util
import time:      1159 |       1159 |         wsgiref.headers
import time:      3533 |       6009 |       wsgiref.handlers
import time:      3780 |       3780 |         _wmi
import time:      3479 |       7258 |       platform
import time:      4480 |      22103 |     wsgiref.simple_server
import time:      1306 |       1306 |     django.core.wsgi
import time:      3757 |      29506 |   django.core.servers.basehttp
import time:      2686 |      33475 | django.core.management.commands.runserver
Performing system checks...

import time:      1124 |       1124 | django.contrib.contenttypes.views
import time:      1020 |       1020 |     django.middleware.http
import time:      1683 |       2702 |   django.views.decorators.http
import time:      3829 |       3829 |         jobs.taxes
import time:      1418 |       5246 |       jobs.taxes_apply
import time:      1877 |       7123 |     clients.lines
import time:      1081 |       1081 |     clients.lines_fee
import time:       980 |        980 |       clients.invoicing
import time:      1815 |       2794 |     clients.ticketing
import time:      3917 |       3917 |     jobs.ledger
import time:      1880 |       1880 |     jobs.metrics
import time:      2515 |       2515 |       jobs.fees
import time:       865 |        865 |       providers.lines_fee
import time:      1772 |       5151 |     jobs.services_fee
import time:       621 |        621 |     providers.lines
import time:       932 |        932 |       providers.invoicing
import time:      1712 |       2643 |     providers.ticketing
import time:      7714 |      32920 |   jobs.services
import time:       960 |        960 |   jobs.services_extras
import time:      3225 |      39806 | jobs.views
import time:      5979 |       5979 | django.core.cache.utils
import time:      1900 |       1900 | django.contrib.admin.views.main
import time:      1256 |       1256 | django.contrib.admin.templatetags.base
import time:      1231 |       1231 | django.core.management.utils
import time:      2186 |       2186 |   django.db.migrations.optimizer
import time:      1292 |       1292 |       django.db.migrations.graph
import time:      1190 |       1190 |       django.db.migrations.recorder
